Time,Distance
63.06666667,156.08
63.1,153.12
63.13333333,153.08
63.16666667,155.05
63.2,157
63.23333333,163.31
63.5,150.08
63.53333333,149.41
63.56666667,150.56
63.6,150.65
63.63333333,148.66
63.66666667,150.65
63.7,150.65
63.73333333,150.27
63.76666667,150
64.03333333,158.4
64.06666667,157.92
64.1,157.81
64.13333333,156.72
64.16666667,156.63
64.2,157.46
64.23333333,158.32
64.26666667,158.15
64.63333333,160.02
64.66666667,158.71
64.7,158.46
64.73333333,157.46
64.76666667,155.46
64.8,156.26
64.83333333,154.21
64.86666667,155.12
64.9,153.16
64.93333333,153.16
64.96666667,151.27
65,150.75
65.03333333,150.65
65.06666667,149.75
65.1,150.08
65.13333333,150.21
65.16666667,151.75
65.2,152.59
65.43333333,152.4
65.46666667,152.55
65.53333333,151.74
65.56666667,153.73
65.6,155.43
65.86666667,152.05
65.9,142.09
65.93333333,138.09
65.96666667,139.29
66,137.19
66.36666667,162.08
66.4,160.25
66.43333333,157.54
66.46666667,158.03
66.5,158.15
66.53333333,155.17
66.56666667,154.57
66.6,154.57
66.63333333,153.44
66.66666667,153.73
66.7,154.87
66.73333333,155.03
66.76666667,156.52
66.8,156.18
66.83333333,156.52
66.86666667,159.25
66.9,157.5
66.93333333,155.76
66.96666667,157.41
67,159.11
67.03333333,158.4
67.06666667,157
67.1,156.73
67.13333333,152.32
67.56666667,154.04
67.63333333,152.12
67.66666667,153.69
67.7,153.69
67.73333333,153.38
67.76666667,150.87
67.8,151.82
67.93333333,151.82
67.96666667,153.16
68,153.44
68.13333333,153.53
68.16666667,154.99
68.23333333,154.99
68.26666667,155.96
68.3,156.92
68.33333333,157.18
68.36666667,156.21
68.4,154.99
68.43333333,155.24
68.46666667,156.47
68.5,156.92
68.73333333,155.76
68.76666667,155.47
68.8,154.26
68.83333333,154.03
68.86666667,154.56
68.9,153.17
68.93333333,151.21
68.96666667,151.63
69,151.86
69.03333333,152.08
69.06666667,152.32
69.1,150.66
69.13333333,149.68
69.3,145.56
69.33333333,146.54
